ACQUISITION_COST,AGE_RANGE,ANNUAL_INCOME,BIRTH_YEAR,CONTACT_PREFERENCE,CREDIT_AUTHORITY_LEVEL,CREDIT_SCORE,CURRENT_EMPLOYMENT_START_DATE,CUSTOMER_BEHAVIOR,CUSTOMER_ID,DATE_FIRST_ACCOUNT_OPENED,DATE_LAST_ACCOUNT_OPENED,EDUCATION_LEVEL,EFFECTIVE_DATE,EMPLOYMENT_STATUS,FAMILY_SIZE,GENDER,HEAD_OF_HOUSEHOLD_INDICATOR,HOME_OWNER_INDICATOR,IMPORTANCE_LEVEL_CODE,INTERNET_BANKING_INDICATOR,LOYALTY_RATING_CODE,MARITAL_STATUS,MARKET_GROUP,MONTHLY_HOUSING_COST,MONTHLY_NET_INCOME,NUMBER_OF_DEPENDENT_CHILDREN,PREFERRED_COMMUNICATION_FORM,PRIMARY_SPOKEN_LANGUAGE,PRIMARY_WRITTEN_LANGUAGE,PROFESSION,PURSUIT,REFERRALS_VALUE_CODE,RELATIONSHIP_START_DATE,RETIREMENT_AGE,SATISFACTION_RATING_FROM_SURVEY,SPECIAL_TERMS_INDICATOR,STATUS,STATUS_DATE,WALLET_SHARE_PERCENTAGE
55.02699309780146,30 to 40,88936.0,1981,phone,Medium,676.9948191352805,2016-05-30,Moderate,1000,2018-01-02,2018-01-02,College,2018-01-02,Employed,3,Male,False,TRUE,Low priority,True,83197,Married,Accumulating,1334.04,4446.8,1,Email,English,English,Physician,Capital Acquisition,High,2018-01-02,67,satisfied,True,Active,2018-01-02,21
19.712714767679028,65 and over,144189.0,1934,none,Very High,682.2760178224406,2016-02-02,Aggressive,1001,2017-11-29,2017-11-29,Professional,2017-11-29,Selfemployed,1,Female,True,FALSE,Normal priority,False,80883,Divorced,Gifting,2162.835,7209.45,0,Video Conference,English,English,Software Developer,Retirement Planning,Very High,2017-11-29,67,very dissatisfied,True,Active,2017-11-29,18
81.47334649787182,55 to 65,127032.0,1954,none,Very Low,799.5671001531953,2016-01-19,Growth,1002,2017-08-28,2017-08-28,PhD,2017-08-28,Homemaker,2,Female,True,FALSE,High priority,True,54611,Married,Accumulating,1905.4799999999998,6351.599999999999,0,Other,English,English,Professor,Increase Net Worth,Low,2017-08-28,67,very satisfied,True,Active,2017-08-28,45
58.943522846073016,65 and over,118908.0,1950,mail,Very Low,733.3563293235931,2015-04-01,Growth,1003,2018-01-17,2018-01-17,PhD,2018-01-17,Homemaker,2,Female,True,FALSE,High priority,False,107792,Married,Accumulating,1783.6200000000001,5945.400000000001,0,Other,English,English,Professor,Increase Net Worth,Low,2018-01-17,67,very satisfied,True,Active,2018-01-17,6
74.09166383415753,40 to 55,83259.0,1975,none,Medium,676.3984198661834,2016-08-16,Moderate,1004,2018-01-03,2018-01-03,College,2018-01-03,Employed,4,Male,True,TRUE,Low priority,False,64163,Married,Accumulating,1248.885,4162.95,2,Email,English,English,Accountant,Estate Planning,Medium,2018-01-03,67,satisfied,True,Active,2018-01-03,18
5.006556788437145,65 and over,122032.0,1937,mail,Very High,742.3504223709705,2016-07-12,Aggressive,1005,2017-11-01,2017-11-01,Professional,2017-11-01,Retired,1,Female,True,FALSE,Normal priority,False,112311,Single,Spending,1830.4799999999998,6101.599999999999,0,In Person,English,English,Professor,Increase Net Worth,Medium,2017-11-01,67,very satisfied,True,Active,2017-11-01,8
18.418417618255056,55 to 65,99244.0,1955,none,Low,776.2994638629546,2016-05-11,Growth,1006,2017-08-03,2017-08-03,PhD,2017-08-03,Homemaker,1,Female,True,TRUE,High priority,False,120620,Single,Accumulating,1488.6599999999999,4962.2,0,Teleconference,English,English,Data Scientist,Increase Net Worth,Low,2017-08-03,67,very satisfied,True,Active,2017-08-03,41
4.828176994837703,55 to 65,137960.0,1959,phone,Very High,757.0221479541713,2015-08-14,Aggressive,1007,2016-12-23,2016-12-23,University,2016-12-23,Homemaker,4,Female,True,FALSE,High priority,True,93422,Married,Spending,2069.4,6898.0,2,In Person,English,English,Professor,Increase Net Worth,Very High,2016-12-23,67,very satisfied,False,Active,2016-12-23,41
14.001673101726658,23 to 30,65955.0,1993,none,Very High,785.6870042741074,2017-08-20,Conserviti,1008,2018-02-03,2018-02-03,High School,2018-02-03,Unemployed,3,Male,False,TRUE,Low priority,False,72520,Married,Starting,989.3249999999999,3297.75,1,Email,English,English,Lawyer,Education Planning,High,2018-02-03,67,neutral,True,Active,2018-02-03,66
74.14221190022222,55 to 65,101421.0,1960,phone,Low,684.429520179058,2015-02-03,Growth,1009,2016-07-20,2016-07-20,University,2016-07-20,Employed,4,Female,True,TRUE,High priority,True,110010,Married,Accumulating,1521.315,5071.05,2,Teleconference,English,English,Data Scientist,Estate Planning,High,2016-07-20,67,satisfied,True,Active,2016-07-20,19
97.84268852346241,65 and over,133886.0,1947,none,Very High,719.0385976517744,2017-05-26,Aggressive,1010,2018-09-05,2018-09-05,PhD,2018-09-05,Retired,1,Female,True,FALSE,Normal priority,False,50537,Single,Spending,2008.2899999999997,6694.299999999999,0,In Person,English,English,Professor,Increase Net Worth,Very High,2018-09-05,67,very satisfied,False,Active,2018-09-05,19
62.49371431139888,30 to 40,105011.0,1980,phone,Medium,769.1238445835436,2014-12-01,Growth,1011,2016-01-31,2016-01-31,College,2016-01-31,Employed,3,Male,False,TRUE,High priority,True,79627,Married,Accumulating,1575.165,5250.55,1,Email,English,English,Accountant,Estate Planning,Low,2016-01-31,67,satisfied,False,Active,2016-01-31,3
76.68639471885099,65 and over,94875.0,1948,mail,Low,730.2708627511969,2015-01-16,Growth,1012,2016-04-28,2016-04-28,PhD,2016-04-28,Homemaker,1,Female,False,TRUE,High priority,False,67446,Single,Accumulating,1423.125,4743.75,0,Teleconference,English,English,Data Scientist,Increase Net Worth,Very Low,2016-04-28,67,very satisfied,True,Active,2016-04-28,64
97.54983659932562,40 to 55,142078.0,1966,phone,Very Low,715.1838310975212,2015-09-22,Growth,1013,2017-06-12,2017-06-12,University,2017-06-12,Employed,4,Male,True,FALSE,High priority,True,45283,Married,Accumulating,2131.17,7103.900000000001,2,Teleconference,English,English,Data Scientist,Increase Net Worth,Very Low,2017-06-12,67,very satisfied,False,Active,2017-06-12,18
51.0817485268736,65 and over,138073.0,1938,phone,Very High,719.4139643425152,2015-01-12,Aggressive,1014,2018-02-07,2018-02-07,Professional,2018-02-07,Homemaker,1,Female,True,FALSE,Normal priority,False,124230,Single,Gifting,2071.0950000000003,6903.650000000001,0,In Person,English,English,Professor,Increase Net Worth,Medium,2018-02-07,67,very satisfied,False,Active,2018-02-07,68
82.87723690866885,40 to 55,109127.0,1966,none,Low,705.5216376990587,2015-03-10,Growth,1015,2016-05-21,2016-05-21,University,2016-05-21,Homemaker,4,Male,True,TRUE,High priority,False,92014,Married,Accumulating,1636.9049999999997,5456.349999999999,2,Teleconference,English,English,Data Scientist,Increase Net Worth,Low,2016-05-21,67,very satisfied,False,Active,2016-05-21,16
46.40448283471492,55 to 65,117516.0,1956,none,Very Low,701.7882671771333,2016-04-12,Growth,1016,2017-12-22,2017-12-22,PhD,2017-12-22,Homemaker,1,Female,True,FALSE,High priority,False,66919,Single,Accumulating,1762.7399999999998,5875.799999999999,0,In Person,English,English,Professor,Increase Net Worth,Very High,2017-12-22,67,very satisfied,True,Active,2017-12-22,68
44.38644319965095,65 and over,165652.5,1949,none,Very High,693.9753547841495,2016-06-23,Aggressive,1017,2016-02-04,2016-02-04,PhD,2018-02-03,Employed,2,Male,False,FALSE,Normal priority,False,120024,Married,Spending,2484.7875,8282.625,0,Other,English,English,Professor,Increase Net Worth,Medium,2016-02-04,67,very satisfied,False,Inactive,2018-02-03,29
7.949610775948107,55 to 65,73561.0,1958,phone,Medium,792.0887650071155,2016-10-06,Growth,1018,2017-10-17,2017-10-17,PhD,2017-10-17,Homemaker,4,Female,True,TRUE,High priority,True,84012,Married,Accumulating,1103.415,3678.0499999999997,2,Teleconference,English,English,Data Scientist,Estate Planning,Very High,2017-10-17,67,satisfied,False,Active,2017-10-17,26
35.70608233496656,65 and over,117436.0,1943,phone,Very High,655.5797895032487,2015-08-18,Aggressive,1019,2016-02-28,2016-02-28,Professional,2016-02-28,Retired,1,Female,True,FALSE,Normal priority,True,124285,Single,Spending,1761.5399999999997,5871.799999999999,0,In Person,English,English,Professor,Increase Net Worth,Very Low,2016-02-28,67,very satisfied,False,Active,2016-02-28,17
78.75822589194796,40 to 55,107307.0,1967,none,Low,651.6431427166183,2016-01-06,Growth,1020,2018-09-14,2018-09-14,University,2018-09-14,Homemaker,4,Male,True,TRUE,High priority,True,71013,Married,Accumulating,1609.6049999999998,5365.349999999999,2,Teleconference,English,English,Data Scientist,Increase Net Worth,Medium,2018-09-14,67,very satisfied,True,Active,2018-09-14,9
62.48011789425165,40 to 55,76540.0,1962,email,Medium,704.3611400732532,2015-02-20,Growth,1021,2017-12-22,2017-12-22,University,2017-12-22,Homemaker,4,Female,False,TRUE,High priority,False,46449,Married,Accumulating,1148.1,3827.0,2,Teleconference,English,English,Data Scientist,Estate Planning,High,2017-12-22,67,satisfied,False,Active,2017-12-22,26
32.57858874327113,23 to 30,52247.0,1992,mail,Very High,692.1055134151312,2016-03-10,Conserviti,1022,2017-09-03,2017-09-03,High School,2017-09-03,Unemployed,3,Male,True,TRUE,Low priority,False,101634,Married,Starting,783.7049999999999,2612.35,1,Email,English,English,Trades person,Education Planning,Very High,2017-09-03,67,dissatisfied,False,Active,2017-09-03,10
85.72792537749945,30 to 40,50210.0,1979,email,High,775.6122600014736,2015-03-03,Conserviti,1023,2016-04-24,2016-04-24,College,2016-04-24,Employed,3,Male,False,TRUE,Low priority,True,124213,Married,Accumulating,753.15,2510.5,1,Email,English,English,Lawyer,Capital Acquisition,Very High,2016-04-24,67,neutral,True,Active,2016-04-24,47
99.03584369104061,40 to 55,116702.0,1970,none,Low,775.2600889356112,2015-09-13,Growth,1024,2016-07-23,2016-07-23,College,2016-07-23,Employed,4,Male,True,TRUE,High priority,True,95325,Married,Accumulating,1750.5299999999997,5835.099999999999,2,Teleconference,English,English,Data Scientist,Estate Planning,Very High,2016-07-23,67,satisfied,True,Active,2016-07-23,58
39.14443146295618,23 to 30,55555.0,1992,mail,Very High,713.7506709011176,2015-12-07,Conserviti,1025,2016-08-24,2016-08-24,High School,2016-08-24,Unemployed,3,Male,True,TRUE,Low priority,False,58769,Married,Starting,833.3249999999999,2777.75,1,Email,English,English,Trades person,Education Planning,Very High,2016-08-24,67,neutral,False,Active,2016-08-24,26
85.63782671954398,40 to 55,118391.25,1968,none,Low,782.751282445818,2015-02-04,Growth,1026,2016-03-07,2016-03-07,University,2018-03-07,Employed,4,Female,True,TRUE,High priority,False,81927,Married,Accumulating,1775.8687499999999,5919.5625,2,Teleconference,English,English,Data Scientist,Estate Planning,Low,2016-03-07,67,satisfied,False,Inactive,2018-03-07,2
74.89168161609176,55 to 65,80110.0,1960,none,Low,783.9999462007872,2014-08-06,Growth,1027,2016-09-22,2016-09-22,PhD,2016-09-22,Homemaker,3,Female,True,TRUE,High priority,True,47305,Single,Accumulating,1201.6499999999999,4005.5,2,Teleconference,English,English,Data Scientist,Philanthropy,Very Low,2016-09-22,67,satisfied,False,Active,2016-09-22,51
82.85341137480233,40 to 55,67747.0,1971,email,Medium,676.0437111934655,2015-04-12,Moderate,1028,2017-06-04,2017-06-04,College,2017-06-04,Employed,4,Male,True,TRUE,Low priority,False,100170,Married,Accumulating,1016.2049999999999,3387.35,2,Email,English,English,Physician,Capital Acquisition,High,2017-06-04,67,satisfied,True,Active,2017-06-04,56
55.85722063545525,55 to 65,74002.0,1957,mail,Low,777.419939359665,2014-04-28,Growth,1029,2016-08-28,2016-08-28,University,2016-08-28,Employed,4,Female,True,TRUE,High priority,False,131178,Married,Accumulating,1110.03,3700.1,2,Teleconference,English,English,Data Scientist,Estate Planning,Low,2016-08-28,67,satisfied,True,Active,2016-08-28,74
62.99071746960799,55 to 65,90661.0,1958,none,Low,793.7464680620656,2015-05-13,Growth,1030,2017-06-16,2017-06-16,University,2017-06-16,Homemaker,4,Female,False,TRUE,High priority,True,104850,Married,Accumulating,1359.915,4533.05,2,Teleconference,English,English,Data Scientist,Philanthropy,High,2017-06-16,67,satisfied,False,Active,2017-06-16,8
56.053915084493234,55 to 65,77846.0,1958,email,Low,732.2534604478344,2015-01-11,Growth,1031,2016-12-22,2016-12-22,PhD,2016-12-22,Homemaker,3,Female,True,TRUE,High priority,False,141124,Single,Accumulating,1167.6899999999998,3892.2999999999997,2,Teleconference,English,English,Data Scientist,Increase Net Worth,Very Low,2016-12-22,67,very satisfied,False,Active,2016-12-22,33
